OBS_AWS_TIM_20240305152856		
location	time hour (2024-02/27)	degree
494	1	2.1
494	2	1.8
494	3	1.3
494	4	0.9
494	5	0.7
494	6	0.3
494	7	0.2
494	8	0.8
494	9	1.8
494	10	4.8
494	11	6.4
494	12	7.8
494	13	8.7
494	14	9.3
494	15	9.3
494	16	9.7
494	17	9
494	18	8.1
494	19	7.1
494	20	6.1
494	21	5.3
494	22	5.2
494	23	4.3
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
